Locator,Invoice Date,Number of Tickets,Round Trip Indicator,Travel Sector,Trip Length,Booking Date,Days Advance Booking,Mileage,Cost Per Mile (USD),Total Ticket Amount (USD)
QIFDLE,1/19/2021,1,OS,Intra Country,1,1/19/2021,2,"1,005",$0.40 ,402.66
QIFDLE,1/20/2021,1,RS,Intra Country,2,1/19/2021,1,"2,010",$0.18 ,358.85
TCQSWQ,2/2/2021,1,RS,Intra Country,1,2/1/2021,5,"1,712",$0.32 ,547.57
XVLNTI,2/2/2021,1,RS,Intra Country,1,2/1/2021,5,"1,712",$0.32 ,547.57
WUOSEW,2/2/2021,1,RS,Intra Country,2,2/1/2021,4,"1,712",$0.34 ,574.94
WUOSEW,2/5/2021,1,RS,Intra Country,2,2/1/2021,4,"1,712",$0.09 ,161.28
MMTKTT,2/16/2021,1,RS,Intra Country,2,2/15/2021,2,550,$0.68 ,376.89
GTTIBC,2/17/2021,1,RS,Intra Country,3,2/16/2021,16,931,$0.24 ,218.9
GFCEUQ,2/18/2021,1,OS,Intra Country,1,2/17/2021,17,723,$0.24 ,172.34
GFCEUQ,2/18/2021,1,OS,Intra Country,1,2/17/2021,13,723,$0.22 ,156.65
ILGRUG,2/19/2021,1,OS,Intra Country,1,2/18/2021,4,423,$0.83 ,350.65
HQOUPY,2/19/2021,1,RS,Intra Country,3,2/18/2021,14,"4,075",$0.27 ,1088.42
QQOPVT,2/19/2021,1,OS,Intra Country,1,2/18/2021,6,423,$0.45 ,192.12
TDPTOY,2/23/2021,1,OS,Intra Country,1,2/22/2021,10,723,$0.22 ,159.63
TDPTOY,2/23/2021,1,RS,Intra Country,3,2/22/2021,10,"1,446",$0.09 ,131.31
ADTZGT,2/24/2021,1,RS,Intra Country,2,2/23/2021,10,931,$0.32 ,297.2
GOJWME,3/4/2021,1,RS,Intra Country,2,3/3/2021,7,649,$0.74 ,480.32
LXYBFG,3/10/2021,1,RS,Intra Country,3,3/9/2021,1,931,$0.31 ,288.9
VBGCVU,3/12/2021,1,RS,Intra Country,1,3/11/2021,8,931,$0.34 ,313.53
JWCKSM,3/12/2021,1,RS,Intra Country,5,3/11/2021,4,846,$0.40 ,342.37
HOBWMS,3/17/2021,1,RS,Intra Country,1,3/17/2021,7,931,$0.31 ,290.23
JUWSBH,3/22/2021,1,RS,Intra Country,1,3/21/2021,5,584,$1.13 ,657.35
BTKEPS,3/22/2021,1,RS,Intra Country,2,3/21/2021,5,931,$0.34 ,312.44
VOGCIT,3/22/2021,1,RS,Intra Country,2,3/21/2021,5,931,$0.34 ,312.44
LOXJNX,3/22/2021,1,RS,Intra Country,1,3/21/2021,10,878,$0.60 ,526.08
BTKEPS,3/22/2021,0,RS,Intra Country,2,3/21/2021,5,931, $-   ,0
VOGCIT,3/22/2021,0,RS,Intra Country,2,3/21/2021,5,931, $-   ,0
ZIGPJZ,3/23/2021,1,RS,Intra Country,1,3/22/2021,9,461,$1.35 ,620.94
QSVRWO,3/23/2021,1,OS,Intra Country,1,3/23/2021,4,465,$0.41 ,189.56
QSVRWO,3/23/2021,1,OM,Intra Country,2,3/23/2021,3,739,$0.63 ,465.89
AWYHNP,3/23/2021,1,OM,Intra Country,2,3/23/2021,3,739,$0.74 ,543.48
AWYHNP,3/23/2021,1,OS,Intra Country,1,3/23/2021,4,465,$0.37 ,174.21
AQMIZP,3/23/2021,1,OM,Intra Country,2,3/23/2021,3,739,$0.74 ,543.48
AQMIZP,3/23/2021,1,OS,Intra Country,1,3/23/2021,4,465,$0.37 ,174.21
CINMEK,3/24/2021,1,RS,Intra Country,4,3/24/2021,4,931,$0.51 ,473.74
QDJEJP,3/28/2021,1,RS,Intra Country,5,3/27/2021,1,878,$0.86 ,757.77
LBSCOL,3/28/2021,1,RS,Intra Country,4,3/28/2021,1,931,$0.51 ,475.63
UMYZUC,3/30/2021,1,RS,Intra Country,4,3/29/2021,35,"3,262",$0.23 ,759.96
XLDZUP,3/31/2021,1,RS,Intra Country,5,3/30/2021,6,878,$0.80 ,701.81
XPFJRH,3/31/2021,1,RS,Intra Country,6,3/30/2021,12,878,$0.71 ,620.23
YUEEAF,3/31/2021,1,RS,Intra Country,2,3/30/2021,33,"1,567",$0.52 ,811.18
CQLJLU,4/1/2021,1,RS,Intra Country,3,3/31/2021,5,"3,392",$0.31 ,1062.68
XCHQJY,4/8/2021,1,RS,Intra Country,1,4/7/2021,6,878,$0.59 ,519.45
ZMDZRK,4/8/2021,1,OS,Intra Country,1,4/8/2021,11,292,$1.08 ,315.54
ZMDZRK,4/8/2021,1,OS,Intra Country,1,4/8/2021,11,292,$0.77 ,226.22
BRNJXU,4/9/2021,1,RS,Intra Country,6,4/8/2021,10,878,$0.16 ,137.19
QYJRPK,4/9/2021,1,RS,Intra Country,3,4/8/2021,5,"1,611",$0.09 ,150.99
QYJRPK,4/9/2021,1,OS,Intra Country,1,4/8/2021,7,820,$0.51 ,417.11
EAQLUI,4/11/2021,1,OS,Intra Country,1,4/10/2021,3,790,$0.28 ,218.71
HAMZUF,4/12/2021,1,RS,Intra Country,1,4/11/2021,8,878,$0.59 ,518.13
JHJFZH,4/12/2021,1,RS,Intra Country,3,4/11/2021,16,"1,654",$0.19 ,309.3
ZMDZRK,4/13/2021,1,RS,Intra Country,1,4/8/2021,11,584,$0.54 ,314.88
SDGIAG,4/18/2021,1,OS,Intra Country,1,4/16/2021,6,238,$0.54 ,128.27
SDGIAG,4/18/2021,1,OM,Intra Country,3,4/16/2021,7,"1,115",$0.77 ,856.23
CPUJJA,4/18/2021,1,RS,Intra Country,1,4/17/2021,7,"1,712",$0.33 ,562.66
DJUBBL,4/18/2021,1,RS,Intra Country,2,4/18/2021,1,878,$0.39 ,343.65
QYPLOS,4/19/2021,1,OS,Intra Country,1,4/19/2021,4,397,$0.48 ,191.01
XBGQRI,4/19/2021,1,OS,Intra Country,1,4/19/2021,3,238,$1.32 ,314.85
IKVSQV,4/19/2021,1,RS,Intra Country,2,4/19/2021,4,772,$0.62 ,481.67
TUBVPU,4/20/2021,1,RS,Intra Country,3,4/19/2021,8,"1,723",$0.34 ,577.31
KTBQAC,4/20/2021,1,OS,Intra Country,1,4/20/2021,3,397,$0.58 ,230.93
KTBQAC,4/20/2021,1,OS,Intra Country,1,4/20/2021,4,397,$0.24 ,96.66
UJPONO,4/20/2021,1,OS,Intra Country,1,4/20/2021,3,397,$0.58 ,230.93
UJPONO,4/20/2021,1,OS,Intra Country,1,4/20/2021,4,397,$0.24 ,96.66
KUBBCW,4/20/2021,1,OS,Intra Country,1,4/20/2021,3,397,$0.58 ,230.93
KUBBCW,4/20/2021,1,OS,Intra Country,1,4/20/2021,4,397,$0.24 ,96.66
EESDGK,4/28/2021,1,RS,Intra Country,2,4/27/2021,10,"2,010",$0.20 ,398.39
KSNNBO,4/28/2021,1,RS,Intra Country,2,4/27/2021,10,"2,010",$0.20 ,398.39
HEFHMD,5/5/2021,1,RS,Intra Country,1,5/4/2021,49,455,$0.61 ,276.92
YAKGSU,5/18/2021,1,RS,Intra Country,4,5/17/2021,6,"1,038",$0.62 ,640.21
HUWXDM,5/25/2021,1,RS,Intra Country,2,5/24/2021,10,878,$0.63 ,556.97
UVGCSW,5/25/2021,1,OS,Intra Country,1,5/24/2021,11,423,$0.26 ,111.72
UVGCSW,5/25/2021,1,OS,Intra Country,1,5/24/2021,11,423,$0.32 ,135.04
RWYGLT,5/27/2021,1,OS,Intra Country,1,5/26/2021,9,723,$0.22 ,155.67
RWYGLT,5/27/2021,1,OS,Intra Country,1,5/26/2021,10,723,$0.17 ,122.48
MXVEZQ,5/28/2021,1,RS,Intra Country,2,5/27/2021,5,931,$0.33 ,310.84
MBIJEQ,5/28/2021,1,RS,Intra Country,2,5/27/2021,7,"1,446",$0.37 ,538.22
VVSNRH,5/28/2021,1,OS,Intra Country,1,5/28/2021,6,723,$0.25 ,182.32
MXVEZQ,5/28/2021,0,RS,Intra Country,2,5/27/2021,5,931,$0.03 ,26.7
CYXHUN,5/28/2021,1,RS,Intra Country,1,5/28/2021,8,878,$0.81 ,710.64
CYFIKH,5/28/2021,1,RS,Intra Country,1,5/28/2021,8,878,$0.81 ,710.64
QUXVUS,4/7/2021,1,RS,Intra Country,4,4/7/2021,92,"1,342",$0.27 ,364.29
KJHTXX,4/7/2021,1,OS,Intra Country,1,4/7/2021,94,270,$0.31 ,84.82
QBKWJY,4/7/2021,1,RS,Intra Country,4,4/7/2021,92,"1,342",$0.27 ,364.29
SFMDDH,4/12/2021,1,RS,Intra Country,2,4/12/2021,22,713,$0.40 ,288.73
HYIEAM,4/13/2021,1,RS,Intra Country,3,4/13/2021,86,899,$0.35 ,313.63
QBKWJY,4/16/2021,0,RS,Intra Country,4,4/7/2021,92,"1,342", $-   ,0
